,ID,Name,Day,Age,Response,Gender
90,91,William,Sixth,30,0.5665519641804087,0
91,92,Raymond,Sixth,25,0.6234046756685127,0
92,93,Michael,Sixth,18,0.4054389794121322,0
93,94,James,Sixth,27,0.4832817739075767,0
94,95,James,Sixth,22,0.4623935581996443,0
95,96,Jayson,Sixth,30,0.6183163685997498,0
96,97,Don,Sixth,24,0.5733711927951894,0
97,98,Joseph,Sixth,29,0.4873175435671538,0
98,99,Paul,Sixth,22,0.688110681439846,0
99,100,Roberto,Sixth,27,0.434629408779397,0
100,101,Vanessa,Sixth,25,0.5111038562077044,1
101,102,Alice,Sixth,23,0.4972015920269251,1
102,103,Josephine,Sixth,27,0.6222947266717184,1
103,104,Annie,Sixth,28,0.4729998858439837,1
104,105,Veronica,Sixth,18,0.4992901882731911,1
105,106,Elizabeth,Sixth,23,0.3895004576945725,1
106,107,Marie,Sixth,29,0.4726102218311762,1
107,108,Barbara,Sixth,20,0.465480091459964,1
108,109,Donna,Sixth,29,0.4993503685979966,1
109,110,Shannon,Sixth,29,0.5368721241098889,1
110,111,Miranda,Sixth,28,0.5454813912263198,1
111,112,Brianna,Sixth,22,0.452065775094302,1
112,113,Willie,Sixth,25,0.39099589041022575,1
113,114,Rachel,Sixth,21,0.4983379588870162,1
114,115,Maria,Sixth,21,0.6115318473116368,1
115,116,Barbara,Sixth,23,0.3798873826666749,1
116,117,Mattie,Sixth,26,0.6024999519165927,1
117,118,Barbara,Sixth,22,0.5365787533599118,1
118,119,Nicole,Sixth,22,0.3719803042196256,1
119,120,Kimberly,Sixth,25,0.3900251680666901,1
120,121,Maya,Sixth,27,0.5012211361474402,1
121,122,Tammy,Sixth,21,0.5900732351352194,1
122,123,Marilyn,Sixth,24,0.5111264805624623,1
123,124,Karen,Sixth,26,0.5719529873473642,1
124,125,Sherri,Sixth,20,0.5344687407956776,1
125,126,Lisa,Sixth,22,0.4285293196734672,1
126,127,Ruth,Sixth,23,0.4141276409539065,1
127,128,Beatriz,Sixth,22,0.580891276391413,1
128,129,Wilma,Sixth,25,0.41292421225187,1
129,130,Alyssa,Sixth,30,0.5691490519310829,1
130,131,Samira,Sixth,24,0.5983022594122839,1
131,132,Danielle,Sixth,26,0.6119405745912091,1
132,133,Rachal,Sixth,30,0.4502686799797943,1
133,134,Candice,Sixth,30,0.4958386248306951,1
134,135,Yvonne,Sixth,30,0.5707502520010675,1
135,136,Lorraine,Sixth,19,0.4435393854940667,1
136,137,Minnie,Sixth,25,0.4677632036651698,1
137,138,Katherine,Sixth,27,0.4042972425845818,1
138,139,Teresa,Sixth,24,0.6421220921833651,1
139,140,Suzanne,Sixth,21,0.5422837619955311,1
140,141,Maria,Sixth,30,0.39329161255034334,1
141,142,Laura,Sixth,21,0.5375873055372921,1
142,143,Georgette,Sixth,20,0.392442361268742,1
143,144,Marcia,Sixth,19,0.5829517088661433,1
144,145,Susie,Sixth,21,0.4800001615471727,1
145,146,Deanna,Sixth,18,0.4949746972751772,1
146,147,Harriet,Sixth,22,0.4651620538037444,1
147,148,Laverne,Sixth,23,0.21852240343463564,1
148,149,Evelyn,Sixth,27,0.5256522259273075,1
149,150,Jessica,Sixth,22,0.4626756113213673,1
150,151,Mary,Sixth,28,0.5971399636524906,1
151,152,Maurine,Sixth,23,0.3862647280799457,1
152,153,Millicent,Sixth,21,0.41539557943222,1
153,154,Twila,Sixth,22,0.4434321643778448,1
154,155,Kim,Sixth,27,0.5783197667230191,1
155,156,Elida,Sixth,27,0.4595253229609275,1
156,157,Robin,Sixth,21,0.406894345549398,1
157,158,Katrina,Sixth,23,0.574720890916179,1
158,159,Christina,Sixth,23,0.4471695747522068,1
159,160,Ashley,Sixth,21,0.3658777537307304,1
160,161,Katherine,Sixth,19,0.5443646468409017,1
161,162,Stella,Sixth,18,0.3811908133421368,1
162,163,Lillian,Sixth,29,0.5827037820459395,1
163,164,Megan,Sixth,26,0.6712950290615973,1
164,165,Martha,Sixth,30,0.5999854536629398,1
165,166,Tamra,Sixth,22,0.5426967026078454,1
166,167,Barbara,Sixth,23,0.5266036117738924,1
167,168,Helen,Sixth,23,0.3827441141401961,1
168,169,Delores,Sixth,20,0.5125524640036196,1
169,170,Cassandra,Sixth,19,0.5445426304713614,1
170,171,Shawn,Sixth,20,0.5415660559256122,1
171,172,Diane,Sixth,23,0.31139991061482986,1
172,173,Lena,Sixth,26,0.4249519659560316,1
173,174,Renee,Sixth,29,0.4841828832501326,1
174,175,Linda,Sixth,20,0.4267961009247867,1
175,176,Brooke,Sixth,21,0.5665981844310021,1
176,177,Angela,Sixth,24,0.4877586266951791,1
177,178,Bridget,Sixth,21,0.4569162017466531,1
178,179,Betty,Sixth,24,0.534980963105169,1
179,180,Lola,Sixth,30,0.5152307543228434,1
180,181,Debra,Sixth,21,0.40830678550869137,1
181,182,Debra,Sixth,29,0.6112997110674216,1
182,183,Diana,Sixth,19,0.41919925141276265,1
183,184,Mary,Sixth,28,0.5751100677634319,1
184,185,Mable,Sixth,23,0.4904157402345066,1
185,186,Jeanne,Sixth,30,0.3049416329938862,1
186,187,Sharon,Sixth,26,0.4326362856392755,1
187,188,Lucia,Sixth,18,0.3895300791317597,1
188,189,Kimberly,Sixth,24,0.5165075984515924,1
189,190,Crystal,Sixth,19,0.3799857945139376,1
190,191,Esther,Sixth,25,0.3598757061536821,1
191,192,Della,Sixth,28,0.5487373450086704,1
192,193,Joy,Sixth,20,0.5711191682655571,1
193,194,Benita,Sixth,24,0.5812982298969092,1
194,195,Doris,Sixth,18,0.5366558449616664,1
195,196,Francisca,Sixth,27,0.4946573817954197,1
196,197,Nia,Sixth,20,0.4877552435335766,1
197,198,Christina,Sixth,29,0.4994693732595509,1
198,199,Marta,Sixth,26,0.4278674824865973,1
199,200,Julia,Sixth,25,0.4036795449925428,1
